REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP706;Eco-friendly men's striped swim shorts;White / Iron Grey Stripes;3XL;99707;100032;23/10/2026;49;;SP706_99707_100032;3663639154680
SP706;Eco-friendly men's striped swim shorts;White / Navy Blue Stripes;S;99708;99702;23/10/2026;99;;SP706_99708_99702;3663639152082
SP706;Eco-friendly men's striped swim shorts;White / Navy Blue Stripes;M;99708;99703;23/10/2026;348;;SP706_99708_99703;3663639152105
SP706;Eco-friendly men's striped swim shorts;White / Navy Blue Stripes;L;99708;99704;23/10/2026;449;;SP706_99708_99704;3663639152099
SP706;Eco-friendly men's striped swim shorts;White / Navy Blue Stripes;XL;99708;99705;23/10/2026;298;;SP706_99708_99705;3663639152112
SP706;Eco-friendly men's striped swim shorts;White / Navy Blue Stripes;XXL;99708;99706;23/10/2026;50;;SP706_99708_99706;3663639152129
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;S;92180;92174;;120;;SP708_92180_92174;3663938328409
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;M;92180;92175;;380;;SP708_92180_92175;3663938328393
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;M;92180;92175;18/09/2026;100;;SP708_92180_92175;3663938328393
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;L;92180;92176;;460;;SP708_92180_92176;3663938328386
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;L;92180;92176;18/09/2026;60;;SP708_92180_92176;3663938328386
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;XL;92180;92177;;320;;SP708_92180_92177;3663938328416
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;XXL;92180;92178;;177;;SP708_92180_92178;3663938328430
SP708;Eco-friendly men's linen and organic cotton trousers;Navy Blue;3XL;92180;92179;;80;;SP708_92180_92179;3663938328379
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;XS;92181;92173;;160;;SP708_92181_92173;3663938328492
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;XS;92181;92173;18/09/2026;40;;SP708_92181_92173;3663938328492
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;S;92181;92174;;659;;SP708_92181_92174;3663938328478
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;M;92181;92175;;920;;SP708_92181_92175;3663938328461
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;L;92181;92176;;760;;SP708_92181_92176;3663938328454
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;XL;92181;92177;;478;;SP708_92181_92177;3663938328485
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;XXL;92181;92178;;220;;SP708_92181_92178;3663938328508
SP708;Eco-friendly men's linen and organic cotton trousers;Wet Sand;3XL;92181;92179;;107;;SP708_92181_92179;3663938328447
SP710;Men's Linen Trousers;Linen Sand;40 FR;92196;92190;;40;;SP710_92196_92190;3663938576893
SP710;Men's Linen Trousers;Linen Sand;42 FR;92196;92191;;320;;SP710_92196_92191;3663938576909
SP710;Men's Linen Trousers;Linen Sand;44 FR;92196;92192;;380;;SP710_92196_92192;3663938576916
SP710;Men's Linen Trousers;Linen Sand;46 FR;92196;92193;;280;;SP710_92196_92193;3663938576923
SP710;Men's Linen Trousers;Linen Sand;48 FR;92196;92194;;40;;SP710_92196_92194;3663938576930
SP711;Men's Linen Bermuda;Linen Sand;36 FR;92207;92199;;20;;SP711_92207_92199;3663938577111
